Scenario,PositiveS,NegativeS,Questions,PositiveQ,NegativeQ
"You are out to dinner on a date. As you look into your date's eyes, you are unsure whether he/she will ask you out for another date. The feeling of uncertainty is",Thrilling,Terrible,Are you eating dinner at a restaurant?,Yes,Yes
"You are taking a dance class and during break, find yourself talking to a newcomer about your job. As you chat, you notice that you are sweating. She probably assumes this is a result of",Dancing,Anxiety,Did the person you met at dance class think you were anxious?,No,Yes
"While on a date, you accidentally spill a glass of water. You feel slightly embarrassed as your date helps you clean up the spill. The rest of the date is likely to be",Fine,Awful,"Will the rest of the date be OK, even though you spill water?",Yes,No
"Your friend sets you up on a blind date and you agree to meet the date at a coffee shop. Once you are both sitting at your table, you notice that he/she is very attractive. You have difficulty thinking of something to say, so you sit quietly. He/she probably thinks that you are",Calm,Nervous,Does the date think that you are anxious?,No,Yes
"During a discussion, you end up debating an issue with colleagues. You later discover that they found your views unusual. When the issue comes up again in a group conversation, you expect that you will be",Included,Excluded,Do you expect that others will want to talk with you about the issue in the future?,Yes,No
A friend suggests that you join an evening class on creative writing. The thought of other people looking at your writing makes you feel,Enthusiastic,Embarrasssed,Would you expect to feel uncomfortable if others look at your work?,No,Yes
"You are sitting on the couch and watching television with a friend. Your friend asks you a personal question. You answer honestly, and you think your friend judges you to be",Open,Weird,Does your friend have a more negative opinion of you after you share personal information?,No,Yes
"You are shopping with a friend, and you try on a new outfit. As you come out of the fitting room, your friend pauses, and then, without smiling, says that you look good. As you think about your friend's response, you decide your friend is being",Sincere,Sarcastic,Does your friend think you look nice?,Yes,No
"You have almost completed a computer course and part of your grade will be determined by a presentation that is to be graded by your classmates. You know most of them, and feel that their opinions of you will make them grade you more",Favorably,Negatively,Will your classmates grade your presentation advantageously?,Yes,No
"You consider taking an evening class in which part of your grade is based on your participation, even though you do not like speaking up in front of others. Because the topic is really interesting, you decide to sign up for the class. After signing up, you realize this decision was",Great,Terrible,Are you happy that you signed up for the interesting evening class?,Yes,No
"You have had a busy week so your kitchen is slightly disorganized. You are expecting your neighbor to stop by for a drink, so you begin to straighten up. Just as you start, your neighbor arrives. He probably thinks your hosting skills are",Normal,Lacking,Do you feel that your neighbor disapproves of you?,No,Yes
"You buy a new camera, but when you get it home, you decide you do not like it. You return it to the store and get your money back. The assistant is not very talkative as he helps you, and you think he views you as",Rational,Frustrating,Do you think the sales assistant felt you were annoying?,No,Yes
"You are persuaded to join a trivia team in a tournament. You are told that most of the questions will be asked to individuals, in different rounds. The first round is hard and you feel that the others found your efforts particularly",Admirable,Poor,Did your teammates feel positive about your efforts in the tournament?,Yes,No
"You have just moved to a new area and your neighbor asks if you would like to go to your local bar that evening. When you arrive, she is not there yet. Reflecting on your earlier conversation, she probably thought you were",Likeable,Dull,Did you make a bad impression on your new neighbor?,No,Yes
You are at a birthday party for a friend of a friend. You notice that you are flushed and a little sweaty. You think that these sensations are,Normal,Embarassing,Is it bad to be flushed and sweaty in front of others?,No,Yes
"You have a minor disagreement with a coworker about the best way to complete a task. You and the coworker decide to ask your boss about it. When you talk to your boss, you momentarily forget what you were about to say. Your boss thinks you sound",Calm,Anxious,Do you appear nervous when you speak with your boss?,No,Yes
"You accidentally knock over a few picture frames in a store. You feel your cheeks become hot as people in the store turn and look at you. As the shop owners come over to rearrange the picture frames, he is",Smiling,Frowning,Is the show owner mad at you for knocking over the picture frames?,No,Yes
"You meet someone at a party and feel that you got along well. Later, you call and suggest meeting again. The reply you get makes you feel that the person thinks meeting again would be",Fun ,Dull,Did the person from the party accept your invitation for getting together again?,Yes,No
"You are in the car with your mother-in-law, and put on the radio. As you discuss which station to listen to, you realize that you and your mother-in-law like different types of music. After having an in-depth discussion about the pros and cons of different music styles, your mother-in-law judges you as",Knowledgeable,Ignorant,Does your mother-in-law decide that you do not know anything about music?,No,Yes
"A friend is having problems with her toddler and calls you to discuss the situation. You explain the methods that worked for you when your children were that age. Your friend notes that your methods are quite different from her methods, and as a result, she thinks you are",Helpful,Ignorant,Did your friend find your advice constructive?,Yes,No
"You arrive at a large party, and quickly realize that there are a lot of people you do not know there. You feel anxious, and consider going home. After thinking about it, you decide to",Stay,Leave,"Do you remain at the party, even though you are feeling anxious?",Yes,No
"You are at a class that your company has sent you to. Your teacher asks each member of the group to stand up and introduce himself or herself. During your brief presentation you momentarily forget what you plan to say, but quickly recover; you guess that others thought you sounded",Fine,Anxious,Did the other people in the workshop think you sounded nervous while you spoke?,No,Yes
"A new teacher is hired for your history class and you hear that he is very disciplined and hard-working. When you meet him for the first time to discuss your work and interests, you think that he found you to be",Intelligent,Dull,Does your new teacher have a good opinion of you?,Yes,No
You arrive at a party in a new outfit. Everyone turns to look at you as you walk in. You decide that they must think that you look,Stylish,Awful,Did everyone at the party like your new outfit?,Yes,No
"You arrange to meet your date at 8 PM in a local bar. You arrive on time and find that he/she is not there yet. After your last conversation, you thought that he/she found you",Interesting,Uninteresting,Was your date interested in you after your last conversation?,Yes,No
"Your credit card bill for the month will arrive soon. You spent a bit more this month than you normally do. When you think about your future finances, you feel like you will be",Okay,Bankrupt,Are you likely to go broke in the future?,No,Yes
"You are taking a challenging exam. On one of the questions, you are 90% certain that you know the correct answer. When you respond, you feel",Confident,Anxious,Are you uneasy about your answer?,No,Yes
"You get home from work on a Friday evening and wonder if you locked the office door. You usually lock the door, but still feel anxious not knowing for sure. Your weekend away from the office will be",Enjoyable,Unenjoyable,"Will you still be able to enjoy the weekend, even if you are wondering about the lock?",Yes,No
Your professor asks you what career you plan to pursue. You respond that you haven't decided yet. Thinking about your future is,Exciting,Worrisome,Do you enjoy thinking about your future?,Yes,No
"You are ready to purchase a new car. After considering all the options, you are still torn between two cars. When you tell the dealer which car you decided to buy, you feel",Calm,Worried,Are you purchasing a new house?,No,No
Your son is going camping with his friend's family for two days. There will be no cell phone reception and you are worried about not being able to check in with him. Your worries over the next two days are going to be,Manageable,Unmanageable,Are you able to manage your worries about your son?,Yes,No
"Your daughter is getting married, and you agreed to help pay for the wedding. As the costs begin to pile up, you realize that the wedding is going to be much more expensive than you previously thought. You feel that after you help pay for the wedding, you will be",Fine,Poor,Do you think you will be poor after helping your daughter pay for the wedding?,No,Yes
"You are looking after a friend's child. The child you are watching asks to go to the park in a different neighborhood. In your opinion, an ordinary outing like this is",Safe,Risky,Is going to a park in a different neighborhood dangerous?,No,Yes
"Your friend enjoys ice-skating and persuades you to try it out. At the rink you put on the skates and step on the ice. You glide forward, slowly at first, then faster, and think your chances of getting injured are",Minimal,Large,Do you think you will get hurt when ice skating?,No,Yes
"You just left for vacation and cannot remember if you shut off the stove after the last time you cooked. You become anxious not knowing whether the stove is on or off. With these thoughts in mind, your vacation will be",Enjoyable,Unenjoyable,"Will you still be able to enjoy your vacation, even if you are wondering about your stove?",Yes,No
"You are bringing in the mail for your neighbor while she is away. Each day on your way out of her house, you lock the front door and check it. Today you were rushing and think you forgot to check the lock. The house will probably be",Fine,Robbed,Will your neighbor's house probably be robbed?,No,Yes
You heard in the news that a lot of businesses are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be,Possible,Impossible,Do you think it will be impossible to find a new job?,No,Yes
"You have not heard from your elderly neighbor recently. You normally visit with him regularly, so it is strange that you have not seen him lately. Your neighbor has probably been",Fine,Sick,Has your elderly neighbor likely been sick?,No,Yes
"This morning you left the house and began your drive to work. About 10 minutes into your commute, you wonder if you remembered to lock the door to your home. As you continue to drive, you feel",Relaxed,Anxious,"Are you able to stay calm, despite being unsure whether you remembered to lock your door?",Yes,No
Your son is going camping with his friend's family for two days. There will be no cell phone reception and you are worried about not being able to check in with him. Your worries over the next two days are going to be,Manageable,Unmanageable,Is your son going to the beach with this friend?,No,No
"You are headed out for vacation. You leave before double checking that all the appliances in your house are turned off. As you close the door to your house, you feel",Peaceful ,Worried,"Are you feeling calm as you leave for vacation, despite not double checking the appliances?",Yes,No
Your friend is taking an airplane to come visit you. The idea of your friend taking an airplane makes you feel anxious. You think you will deal with your anxiety,Successfully,Unsuccessfully,Are you able to successfully manage your nervousness?,Yes,No
You are at home alone watching TV at night. You must have been dozing because you suddenly wake up. You have the impression that you heard a frightening noise and then realize it must be,Neighbors,Robbers,Should you be frightened when you hear a noise at night?,No,Yes
"You go to the hospital to visit a friend. Someone behind you coughs. If you wash your hands, the probability that you will get sick is",Low,High,Is your father in the hospital?,No,No
"While making dinner, you accidentally touch a hot pan. You quickly put your finger under cold water. You think the burn is",Minor,Serious,Will your burned finger be okay?,Yes,No
Your throat is scratchier than it usually is. You think about why this may be. You decide it is probably because you are,Thirsty,Sick,Will drinking water make your throat feel better?,Yes,No
"Yesterday, you got together with a friend who coughed a few times while you were out. You are nervous that you might catch something from your friend. You decide that your anxiety is",Manageable,Unmanageable,Can you manage your anxiety about potentially getting sick from your friend?,Yes,No
"You have not been feeling great recently, so you try to schedule a doctor's appointment. The soonest appointment you can get is a few days away, which makes you feel anxious. You know that your anxiety as you wait for the appointment is",Tolerable,Intolerable,Do you think you will be able to handle your anxiety as you wait for the doctor's appointment?,Yes,No
"Yesterday you spent the day with your friend and her new infant. A few times during the day, the infant coughed and sneezed on you, and you wonder if you will catch something. Tomorrow, you will probably be",Fine,Sick,Will you get sick from your friend's new baby?,No,Yes
"At your routine doctor's appointment, your doctor decides to run a few tests to evaluate your health. The doctor tells you that she will get you your results within a week. While you wait for your results, you think you are likely",Healthy,Unhealthy,Do you think that you are healthy?,Yes,No
"At a dinner party, you are introduced to someone new and chat with him for quite a while. When you call him the next week to suggest meeting again, he pauses for a moment. He probably thinks that getting together would be",Great,Pointless,Did you call your new acquaintance after 2 weeks?,No,No
"A friend invites you to a dinner party that she is holding. She tells you who the other guests are, but you do not recognize any of the other names. You go anyway and on the way there, you think that the other guests will find you",Friendly,Boring,Did you hear the guest list before the party?,Yes,Yes
"You have started a new job and you are given a task to do that normally takes a few days. You manage to finish it the same day. As you go over it, your boss finds only one mistake in your work. You expect he thinks your work is",Commendable,Careless,Was your boss pleased with your work?,Yes,No
"You meet someone new at a book club and have a stimulating discussion. Towards the end you find that she disagrees with something that you said. When the book club meets next, you expect that you will be",Included,Ignored,Did you talk to someone new at the movies?,No,No
"You are on a date with an attractive person. You go for a walk around a park together, and then get coffee. As you think about how the date is going, you feel nervous, and you know being nervous is",Manageable,Unbearable,Did you go for a walk in the mall?,No,No
"You finish a task for your evening class that is due next week, and ask the tutor for his opinion. He says the work is good, apart from an incomplete section. You feel that he thinks you are",Learning,Careless,Was the tutor pleased with the quality of work on your paper?,Yes,No
